2,ONSX 3733,225.9285714,09FR,BCO
1,3COQUEIROS 3679,230,11FR,BCO
15,M. JULIO 3267,199.8666667,18FU,BCO
15,MMCOTTON 3675,199.3,25MEFR,BCO
12,ALGOPAR 3645,202.557971,26MEFR,BCO
10,3COQUEIROS 3775,198.1666667,30fr,BCO
6,MARECHAL RONDON 3728,233.3968254,33FR,BCO
10,ONSX 3794,229.7857143,44fr,BCO
15,MMCOTTON 3640,200.6333333,50FU,BCO
12,3COQUEIROS 3677,200.3333333,55FR,BCO
13,MARECHAL RONDON 3597,229.2058824,63FR,BCO
11, 3790,184.1517857,ms04,BCO
